number, value             , datetime_start            , datetime_complete         , duration              , params_base_model, params_heads, params_hidden_dim, params_learning_rate  , user_attrs_base_model, user_attrs_heads, user_attrs_hidden_dim, user_attrs_lr         , state
    73, 0.8341255582362301, 2026-03-17 11:23:21.908074, 2026-03-17 11:43:01.130582, 0 days 00:19:39.222508,                  ,            2,               256, 0.0074405629346650445 ,                      ,                2,                   256, 0.0074405629346650445 , COMPLETE
    74, 0.876931068931069 , 2026-03-17 11:43:01.131744, 2026-03-17 12:09:42.080469, 0 days 00:26:40.948725,                  ,            2,               256, 0.007065304494999166  ,                      ,                2,                   256, 0.007065304494999166  , COMPLETE
    75, 0.8185056446821154, 2026-03-17 12:09:42.080469, 2026-03-17 12:28:02.599027, 0 days 00:18:20.518558,                  ,            2,               256, 0.007904955909160759  ,                      ,                2,                   256, 0.007904955909160759  , COMPLETE
    76, 0.7631530133010048, 2026-03-17 12:28:02.599027, 2026-03-17 12:37:49.272103, 0 days 00:09:46.673076, resnet18         ,            8,               256, 0.008340075305625298  , resnet18             ,                8,                   256, 0.008340075305625298  , COMPLETE
    77, 0.6986418615709235, 2026-03-17 12:37:49.272103, 2026-03-17 12:48:10.740628, 0 days 00:10:21.468525, resnet34         ,            8,               128, 0.005252746399246682  , resnet34             ,                8,                   128, 0.005252746399246682  , COMPLETE
    78, 0.8566574839302112, 2026-03-17 12:48:10.740628, 2026-03-17 13:10:52.027486, 0 days 00:22:41.286858,                  ,            4,               128, 0.008973394145438076  ,                      ,                4,                   128, 0.008973394145438076  , COMPLETE
    79, 0.9302450340727852, 2026-03-17 13:10:52.028919, 2026-03-17 13:24:44.720947, 0 days 00:13:52.692028,                  ,            8,               256, 0.004787844336994075  ,                      ,                8,                   256, 0.004787844336994075  , COMPLETE
    80, 0.7658904924862372, 2026-03-17 13:24:44.720947, 2026-03-17 13:33:57.631076, 0 days 00:09:12.910129, resnet18         ,            8,               128, 0.003129806824699949  , resnet18             ,                8,                   128, 0.003129806824699949  , COMPLETE
    81, 0.7645454545454545, 2026-03-17 13:33:57.631076, 2026-03-17 13:57:05.388852, 0 days 00:23:07.757776,                  ,            8,               256, 0.00613982788550969   ,                      ,                8,                   256, 0.00613982788550969   , COMPLETE
    82, 0.8785408116735066, 2026-03-17 13:57:05.388852, 2026-03-17 14:12:26.208653, 0 days 00:15:20.819801,                  ,            8,               256, 0.004662871875548717  ,                      ,                8,                   256, 0.004662871875548717  , COMPLETE
    83, 0.8138562091503269, 2026-03-17 14:12:26.208653, 2026-03-17 14:27:16.585145, 0 days 00:14:50.376492,                  ,            8,               256, 0.006840765940697522  ,                      ,                8,                   256, 0.006840765940697522  , COMPLETE
    84, 0.8372168372168372, 2026-03-17 14:27:16.585145, 2026-03-17 14:42:03.926641, 0 days 00:14:47.341496,                  ,            8,               256, 0.004845321241285653  ,                      ,                8,                   256, 0.004845321241285653  , COMPLETE
    85, 0.8331452194030416, 2026-03-17 14:42:03.926641, 2026-03-17 14:56:21.550389, 0 days 00:14:17.623748,                  ,           16,              1024, 0.006486630473671359  ,                      ,               16,                  1024, 0.006486630473671359  , COMPLETE
    86, 0.8690426532531795, 2026-03-17 14:56:21.550389, 2026-03-17 15:10:59.675921, 0 days 00:14:38.125532,                  ,            8,               256, 0.009710961894118483  ,                      ,                8,                   256, 0.009710961894118483  , COMPLETE
    87, 0.6806387540353386, 2026-03-17 15:10:59.675921, 2026-03-17 15:21:51.030245, 0 days 00:10:51.354324, resnet50         ,            8,               128, 0.008678812777325847  , resnet50             ,                8,                   128, 0.008678812777325847  , COMPLETE
    88, 0.7500255065153154, 2026-03-17 15:21:51.030245, 2026-03-17 15:40:05.398322, 0 days 00:18:14.368077,                  ,            2,               128, 0.0041575031520504    ,                      ,                2,                   128, 0.0041575031520504    , COMPLETE
